REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
SOUTH,PUBLIC,RURAL,Female,419.466,428.296,470.384
SOUTH,PUBLIC,RURAL,Female,475.316,458.639,525.494
SOUTH,PUBLIC,RURAL,Female,398.512,434.015,471.223
SOUTH,PUBLIC,URBAN,Male,518.391,535.681,586.013
SOUTH,PUBLIC,URBAN,Male,528.361,562.947,580.604
SOUTH,PUBLIC,URBAN,Female,586.158,630.845,630.119
SOUTH,PUBLIC,URBAN,Female,472.278,537.911,553.562
SOUTH,PUBLIC,URBAN,Female,464.41,506.933,550.858
SOUTH,PUBLIC,URBAN,Female,565.75,600.741,586.572
SOUTH,PUBLIC,URBAN,Male,457.556,479.545,498.918
SOUTH,PUBLIC,URBAN,Male,532.49,566.315,635.341
SOUTH,PUBLIC,URBAN,Female,423.906,573.814,485.397
SOUTH,PUBLIC,URBAN,Female,394.384,454.508,464.043
SOUTH,PUBLIC,URBAN,Male,547.445,538.728,626.389
SOUTH,PUBLIC,URBAN,Male,492.141,530.067,522.883
SOUTH,PUBLIC,URBAN,Female,557.961,567.38,584.707
SOUTH,PUBLIC,URBAN,Female,466.747,559.516,588.903
SOUTH,PUBLIC,URBAN,Female,505.383,502.008,556.453
SOUTH,PUBLIC,URBAN,Female,449.688,490.332,483.999
SOUTH,PUBLIC,URBAN,Female,511.302,577.626,555.8
SOUTH,PUBLIC,URBAN,Female,458.413,506.933,563.633
SOUTH,PUBLIC,URBAN,Female,468.772,524.408,562.98
SOUTH,PUBLIC,URBAN,Female,499.618,519.324,484.278
SOUTH,PUBLIC,URBAN,Female,479.989,573.814,597.296
SOUTH,PUBLIC,URBAN,Female,526.258,565.871,618.557
SOUTH,PUBLIC,URBAN,Male,569.801,578.184,644.759
SOUTH,PUBLIC,URBAN,Male,483.339,466.714,540.601
SOUTH,PUBLIC,URBAN,Female,563.024,553.797,593.752
SOUTH,PUBLIC,URBAN,Female,546.199,543.63,587.225
SOUTH,PUBLIC,URBAN,Female,509.9,570.636,601.772
SOUTH,PUBLIC,URBAN,Male,488.791,535.681,562.98
SOUTH,PUBLIC,URBAN,Male,586.859,526.539,601.772
SOUTH,PUBLIC,URBAN,Male,614.434,540.332,634.782
SOUTH,PUBLIC,URBAN,Female,458.101,523.534,535.938
SOUTH,PUBLIC,URBAN,Male,449.533,467.436,529.411
SOUTH,PUBLIC,URBAN,Female,443.379,549.825,533.141
SOUTH,PUBLIC,URBAN,Male,530.62,526.218,551.79
SOUTH,PUBLIC,URBAN,Male,631.103,629.669,670.216
CENTRAL,PUBLIC,URBAN,Female,576.5,598.199,548.993
CENTRAL,PUBLIC,URBAN,Male,522.909,506.089,470.011
CENTRAL,PUBLIC,URBAN,Female,440.263,488.822,517.102
CENTRAL,PUBLIC,URBAN,Male,451.168,429.985,449.217
CENTRAL,PUBLIC,URBAN,Female,577.434,638.073,560.463
CENTRAL,PUBLIC,URBAN,Female,557.961,543.471,616.971
CENTRAL,PUBLIC,URBAN,Male,495.568,532.634,571.373
CENTRAL,PUBLIC,URBAN,Male,536.228,412.663,521.578
